Time	Channel A	Channel B
(ms)	(V)	(V)

-47.39789000	0.02963347	0.03131199
-47.38509000	0.01178014	0.01336711
-47.37229000	-0.00607318	-0.01358074
-47.35949000	-0.03286843	-0.02255318
-47.34669000	-0.05072176	-0.04049806
-47.33389000	-0.06860561	-0.06744590
-47.32109000	-0.08645894	-0.08542131
-47.30829000	-0.10431230	-0.10336620
-47.29549000	-0.12216560	-0.12134160
-47.28269000	-0.14004940	-0.14825890
-47.26989000	-0.16681420	-0.16623430
-47.25709000	-0.18469800	-0.18417920
-47.24429000	-0.20255130	-0.20215460
-47.23149000	-0.22934660	-0.22009950
-47.21869000	-0.24719990	-0.24704730
-47.20589000	-0.26505320	-0.25601980
-47.19309000	-0.28293710	-0.28296760
-47.18029000	-0.30079040	-0.30094300
-47.16749000	-0.31864370	-0.31888790
-47.15469000	-0.33649710	-0.33686330
-47.14189000	-0.35438090	-0.35480820
-47.12909000	-0.36329230	-0.36378060
-47.11629000	-0.39008760	-0.39072850
-47.10349000	-0.40794090	-0.40870390
-47.09069000	-0.42582480	-0.42664880
-47.07789000	-0.43473620	-0.43562120
-47.06509000	-0.45258950	-0.45359660
-47.05229000	-0.47047330	-0.47154150
-47.03949000	-0.48832670	-0.48054440
-47.02669000	-0.49726860	-0.49848930
-47.01389000	-0.51512190	-0.50746180
-47.00109000	-0.52403330	-0.52543720
-46.98829000	-0.53297530	-0.53440960
-46.97549000	-0.55082860	-0.54338200
-46.96269000	-0.55977050	-0.56135740
-46.94989000	-0.56871240	-0.57032990
-46.93709000	-0.57762380	-0.58830530
-46.92429000	-0.58656570	-0.58830530
-46.91149000	-0.60441910	-0.59727780
-46.89869000	-0.60441910	-0.60625020
-46.88589000	-0.61336100	-0.60625020
-46.87309000	-0.62227240	-0.62422560
-46.86029000	-0.63121430	-0.62422560
-46.84749000	-0.63121430	-0.63319800
-46.83469000	-0.64015630	-0.64217050
-46.82189000	-0.64015630	-0.64217050
-46.80909000	-0.64015630	-0.64217050
-46.79629000	-0.64015630	-0.64217050
-46.78349000	-0.64015630	-0.64217050
-46.77069000	-0.64906760	-0.64217050
-46.75789000	-0.64015630	-0.64217050
-46.74509000	-0.64015630	-0.64217050
-46.73229000	-0.64015630	-0.64217050
-46.71949000	-0.64015630	-0.64217050
-46.70669000	-0.64015630	-0.63319800
-46.69389000	-0.64015630	-0.63319800
-46.68109000	-0.63121430	-0.62422560
-46.66829000	-0.62227240	-0.62422560
-46.65549000	-0.61336100	-0.61522260
-46.64269000	-0.60441910	-0.60625020
-46.62989000	-0.59547720	-0.59727780
-46.61709000	-0.58656570	-0.58830530
-46.60429000	-0.58656570	-0.58830530
-46.59149000	-0.56871240	-0.57032990
-46.57869000	-0.56871240	-0.56135740
-46.56589000	-0.55082860	-0.55238500
-46.55309000	-0.54191710	-0.53440960
-46.54029000	-0.52403330	-0.52543720
-46.52749000	-0.51512190	-0.51646470
-46.51469000	-0.49726860	-0.49848930
-46.50189000	-0.47938480	-0.48054440
-46.48909000	-0.47047330	-0.46256910
-46.47629000	-0.45258950	-0.45359660
-46.46349000	-0.44367810	-0.43562120
-46.45069000	-0.42582480	-0.41767630
-46.43789000	-0.40794090	-0.39970090
-46.42509000	-0.39008760	-0.39072850
-46.41229000	-0.37223430	-0.37278360
-46.39949000	-0.35438090	-0.35480820
-46.38669000	-0.33649710	-0.33686330
-46.37389000	-0.31864370	-0.31888790
-46.36109000	-0.30079040	-0.30094300
-46.34829000	-0.28293710	-0.28296760
-46.33549000	-0.26505320	-0.26502270
-46.32269000	-0.24719990	-0.24704730
-46.30989000	-0.22934660	-0.22910240
-46.29709000	-0.21149330	-0.21112700
-46.28429000	-0.19360940	-0.19318220
-46.27149000	-0.17575610	-0.17520680
-46.25869000	-0.14896080	-0.14825890
-46.24589000	-0.13110750	-0.13928650
-46.23309000	-0.11325420	-0.11233860
-46.22029000	-0.09537034	-0.09439375
-46.20749000	-0.06860561	-0.07641835
-46.19469000	-0.05072176	-0.04950102
-46.18189000	-0.03286843	-0.03152562
-46.16909000	-0.01501511	-0.01358074
-46.15629000	0.01178014	0.00439467
-46.14349000	0.02072207	0.02233955
-46.13069000	0.04751732	0.04028443
-46.11789000	0.06537065	0.05825983
-46.10509000	0.08319346	0.08517716
-46.09229000	0.10998870	0.10315260
-46.07949000	0.11893060	0.13010040
-46.06669000	0.14572590	0.14804530
-46.05389000	0.16357920	0.16602070
-46.04109000	0.18143250	0.18396560
-46.02829000	0.19928590	0.20194100
-46.01549000	0.21716970	0.21988590
-46.00269000	0.23502300	0.23786130
-45.98989000	0.26181830	0.25580610
-45.97709000	0.27967160	0.27378150
-45.96429000	0.29752500	0.29172640
-45.95149000	0.31537830	0.30970180
-45.93869000	0.32432020	0.31867430
-45.92589000	0.35111550	0.34562210
-45.91309000	0.36005740	0.36356700
-45.90029000	0.37791070	0.37253940
-45.88749000	0.38682210	0.39051490
-45.87469000	0.40470590	0.39948730
-45.86189000	0.42255930	0.41746270
-45.84909000	0.43150120	0.43540760
-45.83629000	0.44041260	0.44438000
-45.82349000	0.45826590	0.45338300
-45.81069000	0.46720780	0.47132790
-45.79789000	0.48506120	0.48030030
-45.78509000	0.49400310	0.48930330
-45.77229000	0.50294510	0.49827570
-45.75949000	0.51185640	0.50724820
-45.74669000	0.52079840	0.51622060
-45.73389000	0.52970980	0.52522360
-45.72109000	0.52970980	0.53419600
-45.70829000	0.53865170	0.53419600
-45.69549000	0.54759360	0.54316840
-45.68269000	0.54759360	0.54316840
-45.66989000	0.55650500	0.55214090
-45.65709000	0.55650500	0.56114380
-45.64429000	0.56544700	0.56114380
-45.63149000	0.55650500	0.56114380
-45.61869000	0.55650500	0.56114380
-45.60589000	0.55650500	0.55214090
-45.59309000	0.55650500	0.56114380
-45.58029000	0.55650500	0.55214090
-45.56749000	0.55650500	0.55214090
-45.55469000	0.54759360	0.55214090
-45.54189000	0.53865170	0.54316840
-45.52909000	0.53865170	0.54316840
-45.51629000	0.53865170	0.53419600
-45.50349000	0.52970980	0.52522360
-45.49069000	0.52079840	0.51622060
-45.47789000	0.51185640	0.50724820
-45.46509000	0.50294510	0.49827570
-45.45229000	0.49400310	0.48930330
-45.43949000	0.48506120	0.48030030
-45.42669000	0.46720780	0.47132790
-45.41389000	0.45826590	0.45338300
-45.40109000	0.44935450	0.44438000
-45.38829000	0.43150120	0.43540760
-45.37549000	0.42255930	0.41746270
-45.36269000	0.40470590	0.40845970
-45.34989000	0.39576400	0.39051490
-45.33709000	0.37791070	0.38154240
-45.32429000	0.36005740	0.36356700
-45.31149000	0.34217350	0.34562210
-45.29869000	0.33326210	0.32764670
-45.28589000	0.31537830	0.31867430
-45.27309000	0.29752500	0.29172640
-45.26029000	0.27967160	0.28275400
-45.24749000	0.27072970	0.26477860
-45.23469000	0.25287640	0.25580610
-45.22189000	0.22608110	0.22885830
-45.20909000	0.21716970	0.21091340
-45.19629000	0.19037450	0.19293800
-45.18349000	0.18143250	0.17499310
-45.17069000	0.15463730	0.15701770
-45.15789000	0.13678400	0.13907290
-45.14509000	0.11893060	0.11212500
-45.13229000	0.09213538	0.09418012
-45.11949000	0.08319346	0.07620472
-45.10669000	0.06537065	0.05825983
-45.09389000	0.03857540	0.04028443
-45.08109000	0.02072207	0.02233955
-45.06829000	0.00283822	-0.00457778
-45.05549000	-0.01501511	-0.02255318
-45.04269000	-0.03286843	-0.04049806
-45.02989000	-0.05966369	-0.05847346
-45.01709000	-0.07751702	-0.07641835
-45.00429000	-0.10431230	-0.10336620
-44.99149000	-0.12216560	-0.12134160
-44.97869000	-0.14004940	-0.13928650
-44.96589000	-0.15790280	-0.15726190
-44.95309000	-0.17575610	-0.17520680
-44.94029000	-0.20255130	-0.19318220
-44.92749000	-0.21149330	-0.21112700
-44.91469000	-0.23825800	-0.23807490
-44.90189000	-0.25614180	-0.25601980
-44.88909000	-0.27399520	-0.28296760
-44.87629000	-0.29184850	-0.29194010
-44.86349000	-0.31864370	-0.30991550
-44.85069000	-0.32758570	-0.32786040
-44.83789000	-0.35438090	-0.34583570
-44.82509000	-0.36329230	-0.36378060
-44.81229000	-0.39008760	-0.39072850
-44.79949000	-0.40794090	-0.39970090
-44.78669000	-0.41688280	-0.41767630
-44.77389000	-0.43473620	-0.43562120
-44.76109000	-0.45258950	-0.44462420
-44.74829000	-0.46153140	-0.46256910
-44.73549000	-0.47938480	-0.48054440
-44.72269000	-0.49726860	-0.49848930
-44.70989000	-0.50618000	-0.50746180
-44.69709000	-0.52403330	-0.52543720
-44.68429000	-0.53297530	-0.53440960
-44.67149000	-0.55082860	-0.54338200
-44.65869000	-0.55977050	-0.55238500
-44.64589000	-0.56871240	-0.57032990
-44.63309000	-0.57762380	-0.57930240
-44.62029000	-0.58656570	-0.58830530
-44.60749000	-0.59547720	-0.59727780
-44.59469000	-0.60441910	-0.60625020
-44.58189000	-0.61336100	-0.61522260
-44.56909000	-0.62227240	-0.61522260
-44.55629000	-0.63121430	-0.62422560
-44.54349000	-0.63121430	-0.62422560
-44.53069000	-0.64015630	-0.63319800
-44.51789000	-0.64015630	-0.64217050
-44.50509000	-0.64015630	-0.64217050
-44.49229000	-0.64015630	-0.64217050
-44.47949000	-0.64015630	-0.64217050
-44.46669000	-0.64015630	-0.64217050
-44.45389000	-0.64015630	-0.64217050
-44.44109000	-0.64015630	-0.64217050
-44.42829000	-0.64015630	-0.64217050
-44.41549000	-0.64015630	-0.64217050
-44.40269000	-0.64015630	-0.63319800
-44.38989000	-0.64015630	-0.63319800
-44.37709000	-0.63121430	-0.62422560
-44.36429000	-0.62227240	-0.62422560
-44.35149000	-0.61336100	-0.61522260
-44.33869000	-0.60441910	-0.60625020
-44.32589000	-0.60441910	-0.60625020
-44.31309000	-0.59547720	-0.58830530
-44.30029000	-0.58656570	-0.57930240
-44.28749000	-0.57762380	-0.57032990
-44.27469000	-0.56871240	-0.57032990
-44.26189000	-0.55082860	-0.55238500
-44.24909000	-0.54191710	-0.54338200
-44.23629000	-0.52403330	-0.52543720
-44.22349000	-0.51512190	-0.51646470
-44.21069000	-0.49726860	-0.49848930
-44.19789000	-0.48832670	-0.48951690
-44.18509000	-0.47938480	-0.47154150
-44.17229000	-0.46153140	-0.46256910
-44.15949000	-0.44367810	-0.44462420
-44.14669000	-0.42582480	-0.42664880
-44.13389000	-0.40794090	-0.40870390
